Preferred scientific name,International common name,Taxonomic group,ISC content,CPC content,Datasheet Type,Domain,Kingdom,Phylum,Class,Order,Family,Invasive Somewhere,Total number of presence records,Number of presence records in neighbouring countries/states,Number of presence records countries/states with matching climate,Total Hosts,Habitats,Plant parts in trade,Pathways,Datasheet URL(s)
Abelmoschus moschatus,musk mallow,Plants,Full datasheet,Full datasheet,"invasiveSpecies,hostPlant,crop",Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Malvales,Malvaceae,invasive,87,0,82,0,,no data,,https://www.cabi.org/cpc/datasheet/1951; https://www.cabi.org/isc/datasheet/1951
Abutilon grandifolium,hairy Indian mallow,Plants,Full datasheet,,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Malvales,Malvaceae,invasive,37,0,28,0,,no data,,https://www.cabi.org/isc/datasheet/111972
Abutilon indicum,country mallow,Plants,Full datasheet,Full datasheet,"invasiveSpecies,hostPlant,crop",Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Malvales,Malvaceae,invasive,117,0,103,0,,no data,,https://www.cabi.org/cpc/datasheet/1979; https://www.cabi.org/isc/datasheet/1979
Acacia colei,,Plants,Full datasheet,,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Fabales,Fabaceae,invasive,25,0,22,0,no data,no data,no data,https://www.cabi.org/isc/datasheet/2190
Acacia crassicarpa,northern wattle,Plants,Full datasheet,,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Fabales,Fabaceae,invasive,70,0,66,0,,,no data,https://www.cabi.org/isc/datasheet/2192
Acacia cyclops,coastal wattle,Plants,Full datasheet,Full datasheet,"invasiveSpecies,hostPlant",Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Fabales,Fabaceae,invasive,25,0,11,0,,no data,no data,https://www.cabi.org/cpc/datasheet/2197; https://www.cabi.org/isc/datasheet/2197
Acacia dealbata,acacia bernier,Plants,Full datasheet,Full datasheet,"invasiveSpecies,hostPlant",Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Fabales,Fabaceae,invasive,61,0,46,0,,no data,no data,https://www.cabi.org/cpc/datasheet/2207; https://www.cabi.org/isc/datasheet/2207
Acacia decurrens,green wattle,Plants,Full datasheet,Full datasheet,"invasiveSpecies,hostPlant",Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Fabales,Fabaceae,invasive,66,0,54,0,,no data,no data,https://www.cabi.org/cpc/datasheet/2208; https://www.cabi.org/isc/datasheet/2208
Acacia glauca,wild dividivi,Plants,Full datasheet,,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Fabales,Fabaceae,invasive,28,0,28,0,,,,https://www.cabi.org/isc/datasheet/2447
Acacia hockii,,Plants,Full datasheet,,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Fabales,Fabaceae,invasive,28,0,26,0,,no data,,https://www.cabi.org/isc/datasheet/2265
Acacia karroo,sweet thorn,Plants,Full datasheet,Full datasheet,"invasiveSpecies,hostPlant",Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Fabales,Fabaceae,invasive,25,0,12,0,,no data,no data,https://www.cabi.org/cpc/datasheet/2289; https://www.cabi.org/isc/datasheet/2289
Acacia longifolia,golden wattle,Plants,Full datasheet,Full datasheet,"invasiveSpecies,hostPlant,crop",Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Fabales,Fabaceae,invasive,57,0,41,0,,no data,,https://www.cabi.org/cpc/datasheet/2312; https://www.cabi.org/isc/datasheet/2312
