Taxon,Genus,Hybrid.marker,Species,Abbrev,Infraspecific.rank,Infraspecific,Authority,ID,Plant.Name.Index,TPL.version,Taxonomic.status,Family,New.Genus,New.Hybrid.marker,New.Species,New.Infraspecific.rank,New.Infraspecific,New.Authority,New.ID,New.Taxonomic.status,Typo,WFormat,Higher.level,Date
Cucumis dipsaceus,Cucumis,,dipsaceus,NA,NA,,,kew-2746934,TRUE,1.1,Accepted,Cucurbitaceae,Cucumis,,dipsaceus,,,Ehrenb. ex Spach,kew-2746934,Accepted,FALSE,FALSE,FALSE,2021-08-03
Nassella poeppigiana,Nassella,,poeppigiana,NA,NA,,,kew-425567,TRUE,1.1,Accepted,Poaceae,Nassella,,poeppigiana,,,(Trin. & Rupr.) Barkworth,kew-425567,Accepted,FALSE,FALSE,FALSE,2021-08-03
Pontederia rotundifolia,Pontederia,,rotundifolia,NA,NA,,,kew-259504,TRUE,1.1,Accepted,Pontederiaceae,Pontederia,,rotundifolia,,,L.f.,kew-259504,Accepted,FALSE,FALSE,FALSE,2021-08-03
Sedum gracile,Sedum,,gracile,NA,NA,,,tro-8901799,TRUE,1.1,Accepted,Crassulaceae,Sedum,,gracile,,,C.A. Mey.,tro-8901799,Accepted,FALSE,FALSE,FALSE,2021-08-03
Abelmoschus moschatus,Abelmoschus,,moschatus,NA,NA,,,kew-2609599,TRUE,1.1,Accepted,Malvaceae,Abelmoschus,,moschatus,,,Medik.,kew-2609599,Accepted,FALSE,FALSE,FALSE,2021-08-03
Abutilon grandifolium,Abutilon,,grandifolium,NA,NA,,,kew-2610654,TRUE,1.1,Accepted,Malvaceae,Abutilon,,grandifolium,,,(Willd.) Sweet,kew-2610654,Accepted,FALSE,FALSE,FALSE,2021-08-03
Abutilon indicum,Abutilon,,indicum,NA,NA,,,kew-2610698,TRUE,1.1,Accepted,Malvaceae,Abutilon,,indicum,,,(L.) Sweet,kew-2610698,Accepted,FALSE,FALSE,FALSE,2021-08-03
Acacia colei,Acacia,,colei,NA,NA,,,ild-48931,TRUE,1.1,Accepted,Leguminosae,Acacia,,colei,,,Maslin & L.A.J.Thomson,ild-48931,Accepted,FALSE,FALSE,FALSE,2021-08-03
Acacia crassicarpa,Acacia,,crassicarpa,NA,NA,,,ild-48893,TRUE,1.1,Accepted,Leguminosae,Acacia,,crassicarpa,,,Benth.,ild-48893,Accepted,FALSE,FALSE,FALSE,2021-08-03
Acacia cyclops,Acacia,,cyclops,NA,NA,,,ild-387,TRUE,1.1,Accepted,Leguminosae,Acacia,,cyclops,,,G.Don,ild-387,Accepted,FALSE,FALSE,FALSE,2021-08-03
Acacia dealbata,Acacia,,dealbata,NA,NA,,,ild-389,TRUE,1.1,Accepted,Leguminosae,Acacia,,dealbata,,,Link,ild-389,Accepted,FALSE,FALSE,FALSE,2021-08-03
Acacia decurrens,Acacia,,decurrens,NA,NA,,,ild-390,TRUE,1.1,Accepted,Leguminosae,Acacia,,decurrens,,,Willd.,ild-390,Accepted,FALSE,FALSE,FALSE,2021-08-03
Acacia glauca,Acacia,,glauca,NA,NA,,,ild-30564,TRUE,1.1,Accepted,Leguminosae,Acacia,,glauca,,,(L.) Moench,ild-30564,Accepted,FALSE,FALSE,FALSE,2021-08-03
Acacia hockii,Acacia,,hockii,NA,NA,,,ild-457,TRUE,1.1,Accepted,Leguminosae,Acacia,,hockii,,,De Wild.,ild-457,Accepted,FALSE,FALSE,FALSE,2021-08-03
Acacia karroo,Acacia,,karroo,NA,NA,,,ild-470,TRUE,1.1,Accepted,Leguminosae,Acacia,,karroo,,,Hayne,ild-470,Accepted,FALSE,FALSE,FALSE,2021-08-03
Acacia longifolia,Acacia,,longifolia,NA,NA,,,ild-588,TRUE,1.1,Accepted,Leguminosae,Acacia,,longifolia,,,(Andrews) Willd.,ild-588,Accepted,FALSE,FALSE,FALSE,2021-08-03
