species,name,rank,id
Chlamydophila abortus.1,Bacteria,kingdom,3
Chlamydophila abortus.2,Chlamydiae,phylum,82
Chlamydophila abortus.3,Chlamydiae,class,297
Chlamydophila abortus.4,Chlamydiales,order,570
Chlamydophila abortus.5,Chlamydiaceae,family,8102
Chlamydophila abortus.6,Chlamydophila,genus,9813775
Chlamydophila abortus.7,Chlamydophila abortus,species,3228249
Chlamydophila psittaci.1,Bacteria,kingdom,3
Chlamydophila psittaci.2,Chlamydiae,phylum,82
Chlamydophila psittaci.3,Chlamydiae,class,297
Chlamydophila psittaci.4,Chlamydiales,order,570
Chlamydophila psittaci.5,Chlamydiaceae,family,8102
Chlamydophila psittaci.6,Chlamydophila,genus,9813775
Chlamydophila psittaci.7,Chlamydophila psittaci,species,3228247
Dothiorella viticola.1,Fungi,kingdom,5
Dothiorella viticola.2,Ascomycota,phylum,95
Dothiorella viticola.3,Dothideomycetes,class,183
Dothiorella viticola.4,Botryosphaeriales,order,1032
Dothiorella viticola.5,Botryosphaeriaceae,family,4791
Dothiorella viticola.6,Dothiorella,genus,2568060
Dothiorella viticola.7,Dothiorella viticola,species,2615814
Nattrassia mangiferae.1,Fungi,kingdom,5
Nattrassia mangiferae.2,Ascomycota,phylum,95
Nattrassia mangiferae.3,Dothideomycetes,class,183
Nattrassia mangiferae.4,Botryosphaeriales,order,1032
Nattrassia mangiferae.5,Botryosphaeriaceae,family,4791
Nattrassia mangiferae.6,Neofusicoccum,genus,2611886
Nattrassia mangiferae.7,Neofusicoccum mangiferae,species,2611784
Neonectria coccinea.1,Fungi,kingdom,5
Neonectria coccinea.2,Ascomycota,phylum,95
Neonectria coccinea.3,Sordariomycetes,class,320
Neonectria coccinea.4,Hypocreales,order,1290
Neonectria coccinea.5,Nectriaceae,family,4152
Neonectria coccinea.6,Neonectria,genus,2563867
Neonectria coccinea.7,Neonectria coccinea,species,2563781
Pezizella oenotherae.1,Fungi,kingdom,5
Pezizella oenotherae.2,Ascomycota,phylum,95
Pezizella oenotherae.3,Leotiomycetes,class,179
Pezizella oenotherae.4,Helotiales,order,1052
Pezizella oenotherae.5,Chaetomellaceae,family,7469559
Pezizella oenotherae.6,Discohainesia,genus,2577748
Pezizella oenotherae.7,Discohainesia oenotherae,species,2577749
Groundnut bud necrosis virus,NA,NA,NA
Sesamia inferens.1,Animalia,kingdom,1
Sesamia inferens.2,Arthropoda,phylum,54
Sesamia inferens.3,Insecta,class,216
Sesamia inferens.4,Lepidoptera,order,797
Sesamia inferens.5,Noctuidae,family,7015
Sesamia inferens.6,Sesamia,genus,1762346
Sesamia inferens.7,Sesamia inferens,species,1762353
Atelocauda digitata.1,Fungi,kingdom,5
Atelocauda digitata.2,Basidiomycota,phylum,34
Atelocauda digitata.3,Pucciniomycetes,class,270
Atelocauda digitata.4,Pucciniales,order,1126
Atelocauda digitata.5,Raveneliaceae,family,3249
Atelocauda digitata.6,Endoraecium,genus,2517053
Atelocauda digitata.7,Endoraecium digitatum,species,2517077
Chaetomella raphigera.1,Fungi,kingdom,5
