Cucumis dipsaceus
Nassella poeppigiana
Pontederia rotundifolia
Sedum gracile
Abelmoschus moschatus
Abutilon grandifolium
Abutilon indicum
Acacia colei
Acacia crassicarpa
Acacia cyclops
Acacia dealbata
Acacia decurrens
Acacia glauca
Acacia hockii
Acacia karroo
Acacia longifolia
Acacia mearnsii
Acacia melanoxylon
Acacia mellifera
Acacia nilotica
Acacia saligna
Achyranthes japonica
Acmella uliginosa
Acrocarpus fraxinifolius
Adiantum raddianum
Aegilops cylindrica
Aeschynomene fluitans
Aeschynomene indica
Ageratina riparia
Agropyron cristatum
Agrostis avenacea
Agrostis capillaris
Albizia chinensis
Albizia procera
Alectra vogelii
Alhagi maurorum
Alnus glutinosa
Alopecurus myosuroides
Alyssum desertorum
Alyssum minus
Alyssum simplex
Amaranthus graecizans
Amaranthus hybridus
Amaranthus tricolor
Ammi majus
Ammophila arenaria
Annona cherimola
Annona muricata
Anthoxanthum odoratum
Antidesma bunias
Anubias afzelii
Aponogeton desertorum
Aptenia lancifolia
Arceuthobium oxycedri
Arctotheca calendula
Areca catechu
Arenaria montana
Arenga pinnata
Argemone ochroleuca
Arrhenatherum elatius
Artemisia vulgaris
Artocarpus heterophyllus
Astragalus crenatus
Atriplex semibaccata
Avena barbata
Avena clauda
Avena eriantha
Avena fatua
Avena sterilis
Azolla pinnata
Balanites aegyptiaca
Bambusa bambos
Barleria prionitis
Barringtonia asiatica
Bassia hyssopifolia
Bauhinia tomentosa
Biscutella didyma
Bocconia frutescens
Boehmeria penduliflora
Borreria latifolia
Brachiaria paspaloides
Brachypodium distachyon
Brachypodium sylvaticum
Brassica procumbens
Brassica tournefortii
Briza maxima
Bromus catharticus
Bromus diandrus
Bromus hordeaceus
Bromus japonicus
Bromus madritensis
Bromus rigidus
Bromus rubens
Bromus sterilis
Brugmansia candida
Bryonia diocia
Bryophyllum fedtschenkoi
Bryophyllum proliferum
Bunium alpinum
Caesalpinia violacea
Calamintha nepeta
Calendula stellata
Calliandra houstoniana var. calothyrsus
Calophyllum inophyllum
Calopogonium mucunoides
Calotropis gigantea
Campylopus introflexus
Canavalia cathartica
Canna x generalis
Capsicum baccatum
Cardiospermum grandiflorum
Carduus nutans
Carduus pycnocephalus
Cascabela thevetia
Castilla elastica
Caulerpa racemosa var. cylindracea
Caulerpa taxifolia
Cecropia peltata
Cedrela odorata
Celosia argentea
Cenchrus biflorus
Centaurea melitensis
Centranthus longiflorus
Centrosema pubescens
Cephaleuros virescens
Cerastium perfoliatum
Ceratocephala testiculata
Chamomilla recutita
Chenopodium album
Chloris barbata
Chondrilla juncea
Chrysanthemoides monilifera
Chrysanthemum corymbosum
Chrysopogon aciculatus
Cinchona pubescens
Cinnamomum verum
Cirsium arvense
Clematis vitalba
Clidemia hirta
Clivia nobilis
Codium fragile subsp. tomentosoides
Codium parvulum
Colpomenia peregrina
Conium maculatum
Conyza bonariensis
Conyza sumatrensis
Copaifera officinalis
Corchorus aestuans
Coriandrum sativum
Cortaderia jubata
Cortaderia selloana
Corymbia citriodora
Cotoneaster horizontalis
Crassula ovata
Crataegus monogyna
Crupina vulgaris
Crypsis schoenoides
Crypsis vaginiflora
Cuphea hyssopifolia
Cupressus arizonica
Cuscuta epithymum
Cuscuta europaea
Cuscuta reflexa
Cutandia memphitica
Cyclosorus parasiticus
Cylindropuntia fulgida
Cylindropuntia rosea
Cymbopogon citratus
Cynara cardunculus
Cynodon plectostachyus
Cynoglossum amabile
Cyperus imbricatus
Cyperus iria
Cytisus scoparius
Dactyloctenium australe
Dahlia imperialis
Danthonia decumbens
Datura ferox
Datura innoxia
Delairea odorata
Dendrocalamus strictus
Descurainia sophia
Desmostachya bipinnata
Diascia barberae
Dichanthium annulatum
Dichanthium caricosum
Digitaria abyssinica
Digitaria debilis
Digitaria fuscescens
Dioscorea cayenensis
Dovyalis caffra
Echinochloa pyramidalis
Echium plantagineum
Ehrharta calycina
Ehrharta erecta
Elephantopus mollis
Elymus repens
Emex australis
Enarthrocarpus clavatus
Eragrostis plana
Eragrostis trichophora
Erepsia heteropetala
Erigeron karvinskianus
Eriobotrya japonica
Erodium botrys
Erythrina berteroana
Erythrina poeppigiana
Etlingera elatior
Eucalyptus
Eucalyptus camaldulensus
Eucalyptus cladocalyx
Eucalyptus globulus
Eucalyptus paniculata
Eucalyptus sideroxylon
Euphorbia terracina
Euphorbia umbellata
Euryops chrysanthemoides
Falcataria moluccana
