species,sub_tsn,acc_tsn,syn_author,syn_name,syn_tsn,acc_name,acc_author
Nassella poeppigiana,784001,784001,(Steud.) Barkworth,Nassella amethystina,791493,NA,NA
Nassella poeppigiana,784001,784001,Steud.,Stipa amethystina,795404,NA,NA
Nassella poeppigiana,784001,784001,Phil.,Stipa araucana,795409,NA,NA
Nassella poeppigiana,784001,784001,Phil.,Stipa curicoana,795469,NA,NA
Nassella poeppigiana,784001,784001,Phil.,Stipa julietii,795533,NA,NA
Nassella poeppigiana,784001,784001,Phil.,Stipa montana,795584,NA,NA
Nassella poeppigiana,784001,784001,Trin. & Rupr.,Stipa poeppigiana,795626,NA,NA
Nassella poeppigiana,784001,784001,Phil.,Stipa pratensis,795629,NA,NA
Nassella poeppigiana,784001,784001,Hack.,Stipa latifolia var. grandiflora,802593,NA,NA
Nassella poeppigiana,784001,784001,Roseng. & Izag.,Stipa megapotamia var. latiflora,802603,NA,NA
Nassella poeppigiana,784001,784001,Trin. & Rupr.,Stipa poeppigiana var. poeppigiana,802630,NA,NA
Pontederia rotundifolia,565977,565977,(L. f.) A. Cast.,Reussia rotundifolia,506773,NA,NA
Sedum gracile,NA,NA,NA,NA,NA,NA,NA
Abelmoschus moschatus,21772,21772,(L.) Cook & Collins,Laguna abelmoschus,21694,NA,NA
Abelmoschus moschatus,21772,21772,L.,Hibiscus abelmoschus,514720,NA,NA
Acacia colei,NA,NA,NA,NA,NA,NA,NA
Acacia crassicarpa,NA,NA,NA,NA,NA,NA,NA
Acacia dealbata,26425,26425,(Link) F. Muell.,Acacia decurrens var. dealbata,531911,NA,NA
Acacia decurrens,182078,182078,Willd.,Acacia decurrens var. decurrens,530978,NA,NA
Acacia glauca,506364,506364,(Sw.) Willd.,Acacia villosa,820494,NA,NA
Acacia hockii,NA,NA,NA,NA,NA,NA,NA
Acacia longifolia,26429,26429,(Labill.) R. Br.,Acacia sophorae,507470,NA,NA
Acacia longifolia,26429,26429,(Labill.) Court,Acacia longifolia ssp. sophorae,820856,NA,NA
Acacia mearnsii,182081,182081,Lindl.,Acacia decurrens var. mollis,531912,NA,NA
Acacia melanoxylon,26431,26431,(R. Br.) Pedley,Racosperma melanoxylon,820801,NA,NA
Acacia mellifera,820082,820082,Burch.,Acacia detinens,820481,NA,NA
Acacia mellifera,820082,820082,(Burch.) Brenan,Acacia mellifera ssp. detinens,820867,NA,NA
Acacia nilotica,182086,819931,(L.) Willd. ex Delile,Acacia nilotica,182086,Vachellia nilotica,(L.) P.J.H. Hurter & Mabb.
Acacia nilotica,182086,819931,(Lam.) Willd.,Acacia arabica,508225,Vachellia nilotica,(L.) P.J.H. Hurter & Mabb.
Acacia nilotica,182086,819931,L.,Mimosa nilotica,517140,Vachellia nilotica,(L.) P.J.H. Hurter & Mabb.
Acacia saligna,182091,182091,Lindl.,Acacia cyanophylla,26424,NA,NA
Achyranthes japonica,181937,181937,(Miq.) Nakai,Achyranthes japonica,181938,NA,NA
Acmella uliginosa,196338,196338,Sw.,Spilanthes uliginosa,38440,NA,NA
Acmella uliginosa,196338,196338,Sw.,Spilanthes uligonosa,196339,NA,NA
Acrocarpus fraxinifolius,NA,NA,NA,NA,NA,NA,NA
Adiantum raddianum,17328,17328,Langsd. & Fisch.,Adiantum cuneatum,508378,NA,NA
Aegilops cylindrica,182536,182536,"(Host) Ces., Pass. & Gibelli",Triticum cylindricum,42238,NA,NA
Aegilops cylindrica,182536,182536,Host,Aegilops cylindrica,182537,NA,NA
Aegilops cylindrica,182536,182536,Popova,Aegilops cylindrica var. rubiginosa,182538,NA,NA
Aegilops cylindrica,182536,182536,auct. non Coss.,Aegilops tauschii,506695,NA,NA
Aegilops cylindrica,182536,182536,(Host) Á. Löve,Cylindropyrum cylindricum,511923,NA,NA
Aegilops cylindrica,182536,182536,(Host) Fiori,Aegilops caudata ssp. cylindrica,797466,NA,NA
Aegilops cylindrica,182536,182536,(Host) Hegi,Aegilops caudata ssp. cylindrica,797467,NA,NA
Aegilops cylindrica,182536,182536,Zhuk.,Aegilops cylindrica ssp. aristulata,797470,NA,NA
Aegilops cylindrica,182536,182536,(Eig) Chennav.,Aegilops cylindrica ssp. pauciaristata,797471,NA,NA
Aegilops cylindrica,182536,182536,(Host) Á. Löve,Cylindropyrum cylindricum ssp. cylindricum,797706,NA,NA
Aegilops cylindrica,182536,182536,(Eig) Á. Löve,Cylindropyrum cylindricum ssp. pauciaristatum,797707,NA,NA
Aegilops cylindrica,182536,182536,Popova,Aegilops cylindrica var. albescens,798656,NA,NA
Aegilops cylindrica,182536,182536,(Zhuk.) Tzvelev,Aegilops cylindrica var. aristulata,798657,NA,NA
Aegilops cylindrica,182536,182536,Popova,Aegilops cylindrica var. brunnea,798658,NA,NA
Aegilops cylindrica,182536,182536,Popova,Aegilops cylindrica var. ferruginea,798659,NA,NA
Aegilops cylindrica,182536,182536,Popova,Aegilops cylindrica var. flavescens,798660,NA,NA
Aegilops cylindrica,182536,182536,Popova,Aegilops cylindrica var. fuliginosa,798661,NA,NA
Aegilops cylindrica,182536,182536,S. S. Karataglis,Aegilops cylindrica var. kastorianum,798662,NA,NA
Aegilops cylindrica,182536,182536,Jansen & Wacht.,Aegilops cylindrica var. multiaristata,798663,NA,NA
Aegilops cylindrica,182536,182536,Eig,Aegilops cylindrica var. pauciaristata,798664,NA,NA
Aegilops cylindrica,182536,182536,Tzvelev,Aegilops cylindrica var. prokhanovii,798665,NA,NA
Aegilops cylindrica,182536,182536,Velen.,Aegilops cylindrica var. rumelica,798666,NA,NA
Aeschynomene fluitans,NA,NA,NA,NA,NA,NA,NA
Ageratina riparia,36478,36478,Regel,Eupatorium riparium,513342,NA,NA
Agropyron cristatum,40371,40371,(L.) Gaertn.,Agropyron cristatum,182478,NA,NA
