name,occurrences
Abena cayennensis,0
Abutilon arnottianum,0
Abutilon molle,0
Acacia cyanophylla,125
Acacia procera,0
Acacia procera var. elata,0
Acacia procera var. roxburghiana,0
Acetosella albicans,0
Acetosella corniculata,0
Acetosella corniculata var. villosa,0
Acetosella debilis,0
Acetosella fontana,0
Acetosella herpestica,0
Acetosella lasiandra,0
Acetosella martiana,0
Acetosella palustris,0
Acetosella papilionacea,0
Acetosella regnellii,0
Acetosella simulans,0
Acetosella stricta,0
Acetosella triangularis,0
Acetosella verticillata,0
Acetosella wrightii,0
Acosta micranthos,0
Actinomeris alata,0
Actinomeris alternifolia,12
Actinomeris oppositifolia,0
Actinomeris squarrosa,3
Actinomeris squarrosa var. alternifolia,0
Actinomeris squarrosa var. oppositifolia,0
Actinomeris squarrosa var. procera,0
Adicea microphylla,0
Adicea microphylla var. trianthemoides,0
Adventina ciliata,0
Aeschynomene cachemiriana,0
Aeschynomene diffusa,0
Aeschynomene emerus,1
Aeschynomene glaberrima,0
Aeschynomene herbacea,1
Aeschynomene indica var. punctata,0
Aeschynomene indica var. viscosa,0
Aeschynomene macropoda,0
Aeschynomene montana,0
Aeschynomene oligantha,0
Aeschynomene pumila,0
Aeschynomene quadrata,0
Aeschynomene roxburghii,0
Aeschynomene subviscosa,0
Aeschynomene viscidula,250
Ageratum perplexans,0
Agrorrhinum orontium,0
Agrosinapis arvensis,0
Agrostis plumosa,0
Agrostis pyramidata,0
Ahouai thevetia,0
Akebia micrantha,0
Akebia quinata forma albiflora,0
Akebia quinata forma diplochlamys,1
Akebia quinata forma polyphylla,1
Akebia quinata forma viridiflora,1
Akebia quinata var. diplochlamys,0
Akebia quinata var. polyphylla,0
Akebia quinata var. yechi,0
Alectoridia quartiniana,0
Alisma grandiflorum,1
Alisma subulatum,0
Allium bivalve,8
Allium ornithogaloides,0
Allium striatum,0
Alocasia commutata,0
Alocasia subodora,0
Alocasia tonkinensis,0
Alopecurus maritimus,0
Alsine heterosperma,0
Alsine marina,0
Alsine marina var. minor,0
Alsine maritima,0
Alsine sparsiflora,0
Alsinella media,0
Amaranthus chlorostachys,0
Amaranthus chlorostachys var. erythrostachys,0
Amaranthus cruentus,3335
Amaranthus flavus,2
Amaranthus frumentaceus,0
Amaranthus hecticus,0
Amaranthus hybridus subsp. cruentus,518
Amaranthus hybridus subsp. hypocondriacus,0
Amaranthus hybridus subsp. incurvatus,2
Amaranthus hybridus subsp. paniculatus,0
Amaranthus hybridus subsp. patulus,12
Amaranthus hybridus var. chlorostachys,2
Amaranthus hybridus var. erythrostachys,93
Amaranthus hybridus var. hypocondriacus,0
Amaranthus hybridus var. leucocarpus,0
Amaranthus hybridus var. paniculatus,0
Amaranthus hybridus var. patulus,0
Amaranthus hybridus var. typicus,0
Amaranthus hypocondriacus,0
Amaranthus hypocondriacus var. amentaceus,0
Amaranthus incurvatus,0
Amaranthus laetus,0
Amaranthus leucocarpus,425
Amaranthus leucospermus,1
Amaranthus paniculatus,0
Amaranthus paniculatus var. cruentus,0
Amaranthus patulus,750
Amaranthus retroflexus var. chlorostachys,0
Amaranthus retroflexus var. hybridus,0
Amaranthus strictus,0
Ambrina pumilio,0
Ambulia baumii,0
Ambulia gratioloides,0
Ambulia hottonioides,0
Ambulia stipitata,1
Ammi boeberi,0
Ammi broussonetii,0
Ammi cicutifolium,0
Ammi diversifolium,0
Ammi diversifolium var. glaucifolium,0
Ammi diversifolium var. intermedium,0
Ammi diversifolium var. latifolium,0
Ammi elatum,0
Ammi glaucifolium,0
Ammi intermedium,0
Amoria repens,475
Amyris axilliflora,0
Anagallis arabica,0
Anagallis arvensis,66570
Anagallis arvensis forma azurea,149
Anagallis arvensis forma caerulea,2
Anagallis arvensis forma phoenicea,4
Anagallis arvensis forma purpurea,0
Anagallis arvensis subsp. latifolia,60
Anagallis arvensis subsp. micrantha,0
Anagallis arvensis subsp. phoenicea,2
Anagallis arvensis var. caerulea,0
Anagallis arvensis var. latifolia,5
Anagallis arvensis var. micrantha,0
Anagallis arvensis var. parviflora,0
Anagallis arvensis var. phoenicea,19
Anagallis arvensis var. purpurea,0
Anagallis caerulea,0
Anagallis caerulea var. carnea,0
Anagallis caerulea var. parviflora,0
Anagallis hadidii,0
Anagallis indica,0
Anagallis jacquemontii,0
Anagallis latifolia,8
Anagallis mas,0
Anagallis orientalis,0
Anagallis parviflora,9
Anagallis parviflora var. typica,0
Anagallis phoenicea,11
Anagallis platyphylla,1
Anagallis pulchella,0
Anagallis punctifolia,0
Anagallis punctifolia var. caerulea,0
Anagallis punctifolia var. quadrifolia,0
Anagallis punctifolia var. rubra,0
Anagallis punctifolia var. trifolia,0
Anagallis repens,0
Anagallis verticillata,0
Andropogon aciculatus,7
Andropogon alectoridia,0
Andropogon allionii,0
Andropogon amplexifolius,0
Andropogon bellardii,0
Andropogon besukiensis,0
Andropogon cerifer,0
Andropogon ciliaris,0
Andropogon citratus,1
Andropogon contortus,11
Andropogon contortus subvar. allionii,0
Andropogon contortus subvar. hispidissimus,0
Andropogon contortus subvar. roxburghii,0
Andropogon contortus subvar. secundus,0
Andropogon contortus subvar. typicus,0
Andropogon contortus var. allionii,0
Andropogon contortus var. genuinus,0
Andropogon contortus var. glaber,0
