Name_submitted	Name_matched	Author_matched	Overall_score	Taxonomic_status	Accepted_name	Accepted_author	Accepted_family	Source	Warnings	Accepted_name_lsid
Cucumis dipsaceus	Cucumis dipsaceus		1	Accepted	Cucumis dipsaceus	Ehrenb. ex Spach	Cucurbitaceae	tpl;tropicos	 	
Cucumis dipsaceus	Cucumis dipsaceus		1	Synonym	Cucumis africanus	L.f.	Cucurbitaceae	tpl	 	
Cucumis dipsaceus	Cucumis dipsaceus		1	Invalid		L.f.	Cucurbitaceae	tropicos	 	
Cucumis dipsaceus	Cucumis dipsaceus		1	Accepted	Cucumis dipsaceus	C.G. Ehrenb. ex Spach	Cucurbitaceae	usda	 	
Nassella poeppigiana	Nassella poeppigiana		1	Accepted	Nassella poeppigiana	(Trin. & Rupr.) Barkworth	Poaceae	tpl;tropicos	 	
Pontederia rotundifolia	Pontederia rotundifolia		1	Accepted	Pontederia rotundifolia	L.f.	Pontederiaceae	tpl	 	
Pontederia rotundifolia	Pontederia rotundifolia		1	Accepted	Pontederia rotundifolia	L. f.	Pontederiaceae	tropicos;usda	 	
Pontederia rotundifolia	Pontederia rotundifolia		1	Invalid				tropicos	 	
Sedum gracile	Sedum gracile		1	Accepted	Sedum gracile	C.A. Mey.	Crassulaceae	tpl;tropicos	 	
Abelmoschus moschatus	Abelmoschus moschatus		1	Accepted	Abelmoschus moschatus	Medik.	Malvaceae	tpl;tropicos;usda	 	
Abutilon grandifolium	Abutilon grandifolium		1	Accepted	Abutilon grandifolium	(Willd.) Sweet	Malvaceae	tpl;tropicos;usda	 	
Abutilon indicum	Abutilon indicum		1	Accepted	Abutilon indicum	(L.) Sweet	Malvaceae	tpl;tropicos;usda	 	
Abutilon indicum	Abutilon indicum		1	Illegitimate				tropicos	 	
Acacia colei	Acacia colei		1	Accepted	Acacia colei	Maslin & L.A.J.Thomson	Fabaceae	ildis	 	
Acacia colei	Acacia colei		1	Synonym	Racosperma colei	(Maslin & L.A.J.Thomson) Pedley	Fabaceae	tropicos	 	
Acacia crassicarpa	Acacia crassicarpa		1	Accepted	Acacia crassicarpa	Cunn. ex Benth.	Fabaceae	ildis	 	
Acacia crassicarpa	Acacia crassicarpa		1	Synonym	Racosperma crassicarpum	(A. Cunn. ex Benth.) Pedley	Fabaceae	tropicos	 	
Acacia cyclops	Acacia cyclops		1	Accepted	Acacia cyclops	Cunn. ex Don	Fabaceae	ildis	 	
Acacia cyclops	Acacia cyclops		1	Accepted	Acacia cyclops	A. Cunn. ex G. Don	Fabaceae	tropicos;usda	 	
Acacia dealbata	Acacia dealbata		1	Accepted	Acacia dealbata	Link	Fabaceae	ildis;tropicos;usda	 	
Acacia dealbata	Acacia dealbata		1	Illegitimate				tropicos	 	
