usagekey,scientificname,rank,status,matchtype,acceptedusagekey,canonicalname,confidence,kingdom,phylum,order,family,genus,species,kingdomkey,phylumkey,classkey,orderkey,familykey,genuskey,specieskey,synonym,class,note,original_sciname,original_accepted,acc_matches,ext_matches,ae_matches,n
4086175,Abena cayennensis (Rich.) Hitchc.,species,SYNONYM,EXACT,2925454,Abena cayennensis,98,Plantae,Tracheophyta,Lamiales,Verbenaceae,Stachytarpheta,Stachytarpheta cayennensis,6,7707728,220,408,6689,2925448,2925454,TRUE,Magnoliopsida,NA,Abena cayennensis,Stachytarpheta cayennensis,1,1,0,1
3940251,Abutilon arnottianum (Gillies ex Hook.) Walp.,species,SYNONYM,EXACT,3935610,Abutilon arnottianum,98,Plantae,Tracheophyta,Malvales,Malvaceae,Abutilon,Abutilon thyrsodendron,6,7707728,220,941,6685,10839991,3935610,TRUE,Magnoliopsida,NA,Abutilon arnottianum,Abutilon grandifolium,0,1,0,1
3937317,Abutilon molle (Ortega) Sweet,species,SYNONYM,EXACT,3152633,Abutilon molle,113,Plantae,Tracheophyta,Malvales,Malvaceae,Abutilon,Abutilon grandifolium,6,7707728,220,941,6685,10839991,3152633,TRUE,Magnoliopsida,Similarity: name=110; authorship=0; classification=-2; rank=5; status=0,Abutilon molle,Abutilon grandifolium,1,2,0,2
7864186,Abutilon molle Baker,species,SYNONYM,EXACT,7365658,Abutilon molle,113,Plantae,Tracheophyta,Malvales,Malvaceae,Abutilon,Abutilon anglosomaliae,6,7707728,220,941,6685,10839991,7365658,TRUE,Magnoliopsida,Similarity: name=110; authorship=0; classification=-2; rank=5; status=0,Abutilon molle,Abutilon grandifolium,1,2,0,2
2980328,Acacia cyanophylla Lindl.,species,SYNONYM,EXACT,2978552,Acacia cyanophylla,98,Plantae,Tracheophyta,Fabales,Fabaceae,Acacia,Acacia saligna,6,7707728,220,1370,5386,2978223,2978552,TRUE,Magnoliopsida,NA,Acacia cyanophylla,Acacia saligna,0,1,0,1
2973175,Acacia procera (Roxb.) Willd.,species,SYNONYM,EXACT,2973167,Acacia procera,98,Plantae,Tracheophyta,Fabales,Fabaceae,Albizia,Albizia procera,6,7707728,220,1370,5386,2972897,2973167,TRUE,Magnoliopsida,NA,Acacia procera,Albizia procera,1,1,0,1
2973173,Acacia procera var. elata (Roxb.) Baker,variety,SYNONYM,EXACT,2973167,Acacia procera elata,98,Plantae,Tracheophyta,Fabales,Fabaceae,Albizia,Albizia procera,6,7707728,220,1370,5386,2972897,2973167,TRUE,Magnoliopsida,NA,Acacia procera var. elata,Albizia procera,0,1,0,1
2973168,Acacia procera var. roxburghiana E.Fourn.,variety,SYNONYM,EXACT,2973167,Acacia procera roxburghiana,98,Plantae,Tracheophyta,Fabales,Fabaceae,Albizia,Albizia procera,6,7707728,220,1370,5386,2972897,2973167,TRUE,Magnoliopsida,NA,Acacia procera var. roxburghiana,Albizia procera,0,1,0,1
4036633,Acetosella albicans (Kunth) Kuntze,species,SYNONYM,EXACT,6422951,Acetosella albicans,98,Plantae,Tracheophyta,Oxalidales,Oxalidaceae,Oxalis,Oxalis albicans,6,7707728,220,7224021,6697,2891642,2891711,TRUE,Magnoliopsida,NA,Acetosella albicans,Oxalis corniculata,0,1,0,1
5334533,Acetosella corniculata (L.) Kuntze,species,SYNONYM,EXACT,8427624,Acetosella corniculata,98,Plantae,Tracheophyta,Oxalidales,Oxalidaceae,Oxalis,Oxalis corniculata,6,7707728,220,7224021,6697,2891642,8427624,TRUE,Magnoliopsida,NA,Acetosella corniculata,Oxalis corniculata,0,1,0,1
5537338,Acetosella corniculata var. villosa (M.Bieb.) Kuntze,variety,SYNONYM,EXACT,8207095,Acetosella corniculata villosa,98,Plantae,Tracheophyta,Oxalidales,Oxalidaceae,Oxalis,Oxalis corniculata,6,7707728,220,7224021,6697,2891642,8427624,TRUE,Magnoliopsida,NA,Acetosella corniculata var. villosa,Oxalis corniculata,0,1,0,1
3627015,Acetosella debilis (Kunth) Kuntze,species,SYNONYM,EXACT,7318161,Acetosella debilis,98,Plantae,Tracheophyta,Oxalidales,Oxalidaceae,Oxalis,Oxalis debilis,6,7707728,220,7224021,6697,2891642,2891707,TRUE,Magnoliopsida,NA,Acetosella debilis,Oxalis debilis,0,1,0,1
5537285,Acetosella fontana (Bunge) Kuntze,species,SYNONYM,EXACT,7734596,Acetosella fontana,98,Plantae,Tracheophyta,Oxalidales,Oxalidaceae,Oxalis,Oxalis fontana,6,7707728,220,7224021,6697,2891642,2891701,TRUE,Magnoliopsida,NA,Acetosella fontana,Oxalis corniculata,0,1,0,1
3626373,Acetosella herpestica (Schltdl.) Kuntze,species,SYNONYM,EXACT,8427624,Acetosella herpestica,98,Plantae,Tracheophyta,Oxalidales,Oxalidaceae,Oxalis,Oxalis corniculata,6,7707728,220,7224021,6697,2891642,8427624,TRUE,Magnoliopsida,NA,Acetosella herpestica,Oxalis corniculata,0,1,0,1
5537249,Acetosella lasiandra (Zucc.) Kuntze,species,SYNONYM,EXACT,3628230,Acetosella lasiandra,98,Plantae,Tracheophyta,Oxalidales,Oxalidaceae,Oxalis,Oxalis lasiandra,6,7707728,220,7224021,6697,2891642,3628230,TRUE,Magnoliopsida,NA,Acetosella lasiandra,Oxalis debilis,0,1,0,1
