acc_name,synonyms,acc_name_source,climate,Atlas,fl_nox,fed_nox,naturalized,weedy,occurrences,occurrences_new,words,jk_notes
Crataegus monogyna,"Crataegus curvisepala, Crataegus monogyna, Crataegus oxyacantha, Crataegus oxyacantha var. paulii",ITIS,1,0,0,0,1,1,643915,761204,2,
Cirsium arvense,"Breea arvensis, Breea incana, Carduus arvensis, Cirsium arvense, Cirsium arvense var. argenteum, Cirsium arvense var. horridum, Cirsium arvense var. integrifolium, Cirsium arvense var. mite, Cirsium arvense var. vestitum, Cirsium incanum, Cirsium setosum, Serratula arvensis",ITIS,1,0,0,0,1,1,618823,746149,2,
Rumex acetosa,"Acetosa alpestris, Acetosa pratensis ssp. alpestris, Rumex acetosa, Rumex acetosa ssp. acetosa, Rumex acetosa ssp. alpestris, Rumex acetosa ssp. ambiguus, Rumex acetosa ssp. arifolius, Rumex alpestris",ITIS,1,0,0,0,1,1,606224,722092,2,
Filipendula ulmaria,"Filipendula denudata, Filipendula ulmaria, Filipendula ulmaria ssp. denudata, Filipendula ulmaria ssp. ulmaria, Filipendula ulmaria var. denudata, Spiraea denudata, Spiraea ulmaria, Thecanisia discolor, Thecanisia ulmaria",ITIS,1,0,0,0,1,1,552321,653729,2,
Anthoxanthum odoratum,"Anthoxanthum odoratum, Anthoxanthum odoratum var. altissimum, Anthoxanthum pilosum, Anthoxanthum villosum, Xanthonanthos odoratum",ITIS,1,0,0,0,1,1,547771,627994,2,
Poa trivialis,"Poa ariguensis, Poa callida, Poa maullinica, Poa modesta, Poa pichinchensis, Poa stolonifera, Poa trachyphylla, Poa trivialis, Poa trivialis var. filiculmis, Poa trivialis var. woronowii, Poa woronowii",ITIS,1,0,0,0,1,1,532864,604255,2,
Agrostis capillaris,"Agrestis polymorpha, Agrostis alba ssp. vulgaris, Agrostis alba subvar. pumila, Agrostis alba var. aristata, Agrostis alba var. minor, Agrostis alba var. silvatica, Agrostis alba var. stricta, Agrostis alba var. tenuis, Agrostis alba var. vulgaris, Agrostis capillaris, Agrostis capillaris var. aristata, Agrostis capillaris var. aristulata, Agrostis capillaris var. pumila, Agrostis diffusa, Agrostis hispida, Agrostis laxa, Agrostis lithuanica, Agrostis palustris var. stricta, Agrostis polymorpha, Agrostis polymorpha var. capillaris, Agrostis polymorpha var. pumila, Agrostis pumila, Agrostis rubra var. pumila, Agrostis rubra var. tenella, Agrostis stolonifera var. hispida, Agrostis stolonifera var. minor, Agrostis stolonifera var. tenella, Agrostis stolonifera var. vulgaris, Agrostis stricta, Agrostis sylvatica, Agrostis tenella, Agrostis tenuis, Agrostis tenuis f. aristata, Agrostis tenuis var. aristata, Agrostis tenuis var. hispida, Agrostis tenuis var. pumila, Agrostis tenuis var. tenuis, Agrostis varians, Agrostis vulgaris, Agrostis vulgaris var. aristata, Agrostis vulgaris var. hispida, Agrostis vulgaris var. pumila, Agrostis vulgaris var. tenella, Decandolia vulgaris, Trichodium capillaris, Trichodium strictum, Vilfa divaricata var. pumila, Vilfa vulgaris",ITIS,1,0,0,0,1,1,524201,695570,2,
Arrhenatherum elatius,"Arrhenatherum americanum, Arrhenatherum avenaceum, Arrhenatherum bulbosum, Arrhenatherum elatius, Arrhenatherum elatius var. biaristatum, Arrhenatherum tuberosum, Avena avenaceum, Avena bulbosa, Avena elata, Avena elatior, Avena tuberosa, Avenastrum elatius, Holcus avenaceus, Holcus bulbosus, Hordeum avenaceum",ITIS,1,0,0,0,1,1,515186,519031,2,
Sambucus nigra,,ITIS,1,0,0,0,1,1,487287,590207,2,Similar problem to Calystegia sepium. S. nigra ssp. canadensis is native https://florida.plantatlas.usf.edu/Plant.aspx?id=2186
Alnus glutinosa,"Alnus alnus, Alnus glutinosa, Betula alnus var. glutinosa, Betula glutinosa",ITIS,1,0,0,0,1,1,471663,555480,2,
