acc_name,synonyms,acc_name_source,climate,Atlas,fl_nox,fed_nox,naturalized,weedy,occurrences,occurrences_new
Abelmoschus moschatus,"Abelmoschus moschatus, Hibiscus abelmoschus, Laguna abelmoschus",ITIS,1,0,0,0,1,1,1648,994
Abutilon grandifolium,"Abutilon arnottianum, Abutilon grandifolium, Abutilon molle, Sida arnottiana, Sida grandifolia, Sida mollis",Atlas,1,1,0,0,1,1,534,577
Abutilon indicum,Abutilon indicum,ITIS,1,0,0,0,1,1,1387,589
Acacia colei,Acacia colei,TNRS,1,0,0,0,1,0,1144,301
Acacia crassicarpa,Acacia crassicarpa,TNRS,1,0,0,0,1,1,1107,825
Acacia cyclops,Acacia cyclops,ITIS,1,0,0,0,1,1,1977,1945
Acacia dealbata,"Acacia dealbata, Acacia decurrens var. dealbata",ITIS,1,0,0,0,1,1,31647,29500
Acacia decurrens,"Acacia decurrens, Acacia decurrens var. decurrens",ITIS,1,0,0,0,1,1,3845,16969
Acacia glauca,"Acacia glauca, Acacia villosa",ITIS,1,0,0,0,1,1,1,155
Acacia karroo,Acacia karroo,ITIS,1,0,0,0,1,1,1045,1037
Acacia longifolia,"Acacia longifolia, Acacia longifolia ssp. sophorae, Acacia sophorae",ITIS,1,0,0,0,1,1,23596,17861
Acacia mearnsii,"Acacia decurrens var. mollis, Acacia mearnsii",ITIS,1,0,0,0,1,1,17643,19507
Acacia melanoxylon,"Acacia melanoxylon, Racosperma melanoxylon",ITIS,1,0,0,0,1,1,39863,38584
Acacia mellifera,"Acacia detinens, Acacia mellifera, Acacia mellifera ssp. detinens",ITIS,1,0,0,0,0,1,80,717
Acacia saligna,"Acacia cyanophylla, Acacia saligna, Mimosa saligna, Racosperma salignum",Atlas,1,1,0,0,1,1,5338,6058
Acacia verticillata,Acacia verticillata,ITIS,1,0,0,0,1,1,12787,5318
Acer platanoides,"Acer platanoides, Acer platanoides var. schwedleri",ITIS,1,0,0,0,1,1,163732,477030
Acer pseudoplatanus,Acer pseudoplatanus,ITIS,1,0,0,0,1,1,427813,557932
Acer rufinerve,Acer rufinerve,TNRS,1,0,0,0,1,1,1599,1942
Achillea alpina,"Achillea alpina, Achillea multiflora, Achillea punctata, Achillea sibirica",TNRS,1,0,0,0,0,1,0,547
Achillea biebersteinii,Achillea biebersteinii,TNRS,1,0,0,0,0,1,125,104
Achillea millefolium subsp. stricta,"Achillea millefolium subsp. stricta, Achillea stricta",TNRS,0,0,0,0,0,1,0,165
Achillea pannonica,Achillea pannonica,ITIS,1,0,0,0,0,1,1300,850
Achillea ptarmica,Achillea ptarmica,ITIS,1,0,0,0,1,1,179967,172529
Achnatherum hymenoides,"Achnatherum hymenoides, Eriocoma cuspidata, Eriocoma hymenoides, Eriocoma membranacea, Fendleria rhynchelytroides, Milium cuspidatum, Oryzopsis cuspidata, Oryzopsis hymenoides, Oryzopsis hymenoides var. hymenoides, Oryzopsis membranacea, Stipa hymenoides, Stipa membranacea, Urachne lanata",ITIS,1,0,0,0,1,1,3125,4159
Achnatherum splendens,"Achnatherum splendens, Stipa schlagintweitii, Stipa splendens",ITIS,0,0,0,0,1,1,536,441
Achyranthes japonica,Achyranthes japonica,ITIS,1,0,0,0,0,1,877,1244
Acmella uliginosa,"Acmella uliginosa, Spilanthes uliginosa, Spilanthes uligonosa",ITIS,1,0,0,0,1,1,509,617
Acmispon americanus var. americanus,"Acmispon americanus var. americanus, Hosackia americana, Lotus americanus, Lotus purshianus, Lotus purshianus var. glaber, Lotus sericeus, Lotus unifoliolatus, Lotus unifoliolatus var. unifoliolatus",ITIS,1,0,0,0,0,1,1115,1882
Aconitum lycoctonum,"Aconitum lycoctonum, Aconitum septentrionale",ITIS,1,0,0,0,1,1,29986,25754
Aconogonon alpinum,"Aconogonon alpinum, Aconogonum alpinum, Pleuropteropyrum alpinum, Polygonum alpinum",ITIS,1,0,0,0,0,1,558,1064
Acrocarpus fraxinifolius,Acrocarpus fraxinifolius,TNRS,1,0,0,0,1,0,125,89
Actinoscirpus grossus,"Actinoscirpus grossus, Scirpus grossus",TNRS,1,0,0,0,0,1,348,202
Adenocaulon himalaicum,"Adenocaulon adhaerescens, Adenocaulon himalaicum",TNRS,1,0,0,0,1,0,980,1395
Adenostoma fasciculatum,Adenostoma fasciculatum,ITIS,1,0,0,0,0,1,4085,4511
Adiantum raddianum,"Adiantum cuneatum, Adiantum raddianum",ITIS,1,0,0,0,1,1,1947,2112
Aegagropila linnaei,Aegagropila linnaei,CABI,0,0,0,0,0,0,847,935
Aegilops cylindrica,"Aegilops caudata ssp. cylindrica, Aegilops cylindrica, Aegilops cylindrica ssp. aristulata, Aegilops cylindrica ssp. pauciaristata, Aegilops cylindrica var. albescens, Aegilops cylindrica var. aristulata, Aegilops cylindrica var. brunnea, Aegilops cylindrica var. ferruginea, Aegilops cylindrica var. flavescens, Aegilops cylindrica var. fuliginosa, Aegilops cylindrica var. kastorianum, Aegilops cylindrica var. multiaristata, Aegilops cylindrica var. pauciaristata, Aegilops cylindrica var. prokhanovii, Aegilops cylindrica var. rubiginosa, Aegilops cylindrica var. rumelica, Aegilops tauschii, Cylindropyrum cylindricum, Cylindropyrum cylindricum ssp. cylindricum, Cylindropyrum cylindricum ssp. pauciaristatum, Triticum cylindricum",ITIS,1,0,0,0,1,1,3487,3671
Aeschynomene fluitans,Aeschynomene fluitans,Atlas,1,1,0,0,0,0,95,89
Aeschynomene indica,"Aeschynomene cachemiriana, Aeschynomene diffusa, Aeschynomene glaberrima, Aeschynomene herbacea, Aeschynomene indica, Aeschynomene indica var. punctata, Aeschynomene indica var. viscosa, Aeschynomene macropoda, Aeschynomene montana, Aeschynomene oligantha, Aeschynomene pumila, Aeschynomene quadrata, Aeschynomene roxburghii, Aeschynomene subviscosa, Aeschynomene viscidula, Hedysarum alpinum, Hedysarum neli-tali, Hedysarum virginicum, Smithia aspera",Atlas,1,1,0,0,1,1,5086,5278
Aetheorhiza bulbosa,Aetheorhiza bulbosa,TNRS,0,0,0,0,1,1,1401,722
Ageratina adenophora,"Ageratina adenophora, Eupatorium adenophorum, Eupatorium glandulosum, Eupatorium trapezoideum",TNRS,1,0,1,1,1,1,0,6750
Ageratina riparia,"Ageratina riparia, Eupatorium riparium",ITIS,1,0,0,1,1,1,1702,1735
Agropyron cristatum,"Agropyron cristatum, Avena cristata, Bromus cristatus, Costia cristata, Eremopyrum cristatum, Triticum cristatum, Zeia cristata",ITIS,1,0,0,0,1,1,4241,3857
Agrostis capillaris,"Agrestis polymorpha, Agrostis alba ssp. vulgaris, Agrostis alba subvar. pumila, Agrostis alba var. aristata, Agrostis alba var. minor, Agrostis alba var. silvatica, Agrostis alba var. stricta, Agrostis alba var. tenuis, Agrostis alba var. vulgaris, Agrostis capillaris, Agrostis capillaris var. aristata, Agrostis capillaris var. aristulata, Agrostis capillaris var. pumila, Agrostis diffusa, Agrostis hispida, Agrostis laxa, Agrostis lithuanica, Agrostis palustris var. stricta, Agrostis polymorpha, Agrostis polymorpha var. capillaris, Agrostis polymorpha var. pumila, Agrostis pumila, Agrostis rubra var. pumila, Agrostis rubra var. tenella, Agrostis stolonifera var. hispida, Agrostis stolonifera var. minor, Agrostis stolonifera var. tenella, Agrostis stolonifera var. vulgaris, Agrostis stricta, Agrostis sylvatica, Agrostis tenella, Agrostis tenuis, Agrostis tenuis f. aristata, Agrostis tenuis var. aristata, Agrostis tenuis var. hispida, Agrostis tenuis var. pumila, Agrostis tenuis var. tenuis, Agrostis varians, Agrostis vulgaris, Agrostis vulgaris var. aristata, Agrostis vulgaris var. hispida, Agrostis vulgaris var. pumila, Agrostis vulgaris var. tenella, Decandolia vulgaris, Trichodium capillaris, Trichodium strictum, Vilfa divaricata var. pumila, Vilfa vulgaris",ITIS,1,0,0,0,1,1,524201,695570
Agrostis hyemalis,"Agrestis hyemalis, Agrostis antecedens, Agrostis aphanes, Agrostis canina var. hiemalis, Agrostis canina var. hyemalis, Agrostis hiemalis, Agrostis hyemalis, Agrostis hyemalis var. hyemalis, Agrostis hyemalis var. laxiflora, Agrostis laxiflora, Agrostis leptos, Agrostis michauxii var. laxiflorum, Cornucopiae hyemalis, Trichodium laxiflorum, Trichodium laxum",ITIS,1,0,0,0,1,1,1642,3849
Aizoon canariense,Aizoon canariense,TNRS,1,0,0,0,1,1,898,759
Ajuga chamaepitis,Ajuga chamaepitis,CABI,0,0,0,0,0,0,0,17575
Ajuga pyramidalis,Ajuga pyramidalis,TNRS,0,0,0,0,1,1,48149,51380
Akebia quinata,"Akebia micrantha, Akebia quinata, Akebia quinata forma albiflora, Akebia quinata forma diplochlamys, Akebia quinata forma polyphylla, Akebia quinata forma viridiflora, Akebia quinata var. diplochlamys, Akebia quinata var. polyphylla, Akebia quinata var. yechi, Rajania quinata",Atlas,1,1,0,0,1,1,1613,2971
Albizia carbonaria,"Albizia carbonaria, Pithecellobium carbonarium",ITIS,1,0,0,0,1,1,254,994
Albizia chinensis,"Albizia chinensis, Albizia stipulata",ITIS,1,0,0,0,1,1,346,363
Albizia procera,"Acacia procera, Acacia procera var. elata, Acacia procera var. roxburghiana, Albizia procera, Feuilleea procera, Mimosa coriaria, Mimosa elata, Mimosa procera",Atlas,1,1,0,0,1,1,546,453
Alchemilla gibberulosa,Alchemilla gibberulosa,TNRS,0,0,0,0,0,0,73,102
Alchemilla glabricaulis,Alchemilla glabricaulis,TNRS,0,0,0,0,0,1,267,342
Alchemilla glaucescens,"Alchemilla glaucescens, Alchemilla minor",ITIS,0,0,0,0,1,1,24485,25680
Alchemilla hirsuticaulis,Alchemilla hirsuticaulis,TNRS,0,0,0,0,0,0,736,978
Alchemilla leiophylla,Alchemilla leiophylla,TNRS,0,0,0,0,0,1,84,111
Alectra fulminensis,Alectra fulminensis,CABI,1,0,1,0,0,0,0,11
