Taxon,Genus,Hybrid.marker,Species,Abbrev,Infraspecific.rank,Infraspecific,Authority,ID,Plant.Name.Index,TPL.version,Taxonomic.status,Family,New.Genus,New.Hybrid.marker,New.Species,New.Infraspecific.rank,New.Infraspecific,New.Authority,New.ID,New.Taxonomic.status,Typo,WFormat,Higher.level,Date
Ligustrum vulgare,Ligustrum,,vulgare,NA,NA,,,kew-353907,TRUE,1.1,Accepted,Oleaceae,Ligustrum,,vulgare,,,L.,kew-353907,Accepted,FALSE,FALSE,FALSE,8/3/21
Cytisus scoparius,Cytisus,,scoparius,NA,NA,,,ild-8778,TRUE,1.1,Accepted,Leguminosae,Cytisus,,scoparius,,,(L.) Link,ild-8778,Accepted,FALSE,FALSE,FALSE,8/3/21
Phalaris arundinacea,Phalaris,,arundinacea,NA,NA,,,kew-433393,TRUE,1.1,Accepted,Poaceae,Phalaris,,arundinacea,,,L.,kew-433393,Accepted,FALSE,FALSE,FALSE,8/3/21
Agrostis capillaris,Agrostis,,capillaris,NA,NA,,,kew-387729,TRUE,1.1,Accepted,Poaceae,Agrostis,,capillaris,,,L.,kew-387729,Accepted,FALSE,FALSE,FALSE,8/3/21
Avena fatua,Avena,,fatua,NA,NA,,,kew-397488,TRUE,1.1,Accepted,Poaceae,Avena,,fatua,,,L.,kew-397488,Accepted,FALSE,FALSE,FALSE,8/3/21
Persicaria hydropiper,Persicaria,,hydropiper,NA,NA,,,kew-2572559,TRUE,1.1,Accepted,Polygonaceae,Persicaria,,hydropiper,,,(L.) Delarbre,kew-2572559,Accepted,FALSE,FALSE,FALSE,8/3/21
Hypericum perforatum,Hypericum,,perforatum,NA,NA,,,kew-2858676,TRUE,1.1,Accepted,Hypericaceae,Hypericum,,perforatum,,,L.,kew-2858676,Accepted,FALSE,FALSE,FALSE,8/3/21
Malva sylvestris,Malva,,sylvestris,NA,NA,,,kew-2504118,TRUE,1.1,Accepted,Malvaceae,Malva,,sylvestris,,,L.,kew-2504118,Accepted,FALSE,FALSE,FALSE,8/3/21
Mentha aquatica,Mentha,,aquatica,NA,NA,,,kew-124366,TRUE,1.1,Accepted,Lamiaceae,Mentha,,aquatica,,,L.,kew-124366,Accepted,FALSE,FALSE,FALSE,8/3/21
Matricaria chamomilla,Matricaria,,chamomilla,NA,NA,,,gcc-103038,TRUE,1.1,Accepted,Compositae,Matricaria,,chamomilla,,,L.,gcc-103038,Accepted,FALSE,FALSE,FALSE,8/3/21
