family,n,draw
Acanthaceae,1,1
Amaranthaceae,1,1
Amaryllidaceae,1,1
Apiaceae,1,1
Apocynaceae,6,1
Aquifoliaceae,1,1
Athyriaceae,1,1
Boraginaceae,1,1
Brunelliaceae,1,1
Bryaceae,1,1
Casuarinaceae,1,1
Compositae,11,1
Cryphaeaceae,1,1
Dicranaceae,1,1
Dryopteridaceae,1,1
Elaeocarpaceae,1,1
Ericaceae,1,1
Eriocaulaceae,1,1
Fagaceae,1,1
Gesneriaceae,1,1
Grimmiaceae,1,1
Hookeriaceae,1,1
Hydrocharitaceae,1,1
Lamiaceae,2,1
Lauraceae,1,1
Leguminosae,13,1
Lejeuneaceae,1,1
Liliaceae,1,1
Myrtaceae,1,1
Ochnaceae,1,1
Orchidaceae,11,1
Papaveraceae,2,1
Phyllanthaceae,1,1
Plagiochilaceae,1,1
Plantaginaceae,1,1
Poaceae,4,1
Polygalaceae,3,1
Polypodiaceae,1,1
Porellaceae,1,1
Primulaceae,1,1
Pteridaceae,1,1
Putranjivaceae,1,1
Ranunculaceae,2,1
Rubiaceae,5,1
Solanaceae,2,1
Symplocaceae,1,1
Vitaceae,1,1
Xanthorrhoeaceae,1,1
Acanthaceae,1,2
Alseuosmiaceae,1,2
Amaranthaceae,2,2
Amaryllidaceae,3,2
Apiaceae,1,2
Apocynaceae,1,2
Araceae,1,2
Aristolochiaceae,1,2
Asparagaceae,1,2
Athyriaceae,1,2
Betulaceae,1,2
Boraginaceae,1,2
Bryaceae,1,2
Caryophyllaceae,2,2
Cistaceae,1,2
Commelinaceae,1,2
Compositae,8,2
Cucurbitaceae,1,2
Cystopteridaceae,1,2
Dicranaceae,1,2
Dryopteridaceae,1,2
Elaeocarpaceae,2,2
Euphorbiaceae,4,2
Fagaceae,1,2
Funariaceae,2,2
Gesneriaceae,1,2
Heliconiaceae,1,2
Hypericaceae,2,2
Iridaceae,1,2
Juglandaceae,1,2
Lamiaceae,2,2
Lauraceae,1,2
Leguminosae,9,2
Lejeuneaceae,2,2
Lindsaeaceae,1,2
Loranthaceae,1,2
Malvaceae,1,2
Melastomataceae,1,2
Moraceae,2,2
Nyctaginaceae,1,2
Orchidaceae,7,2
Orthotrichaceae,1,2
Phyllanthaceae,1,2
Piperaceae,1,2
Plumbaginaceae,1,2
Poaceae,3,2
Primulaceae,1,2
Proteaceae,1,2
Ranunculaceae,1,2
Resedaceae,1,2
Restionaceae,1,2
Rhamnaceae,1,2
Rosaceae,2,2
Rubiaceae,4,2
Saxifragaceae,1,2
Scrophulariaceae,1,2
Thelypteridaceae,1,2
Zingiberaceae,1,2
Anacardiaceae,1,3
Annonaceae,1,3
Apocynaceae,2,3
Aponogetonaceae,1,3
Araucariaceae,1,3
Arecaceae,1,3
Balsaminaceae,1,3
Bartramiaceae,2,3
Bignoniaceae,1,3
Bromeliaceae,1,3
Cactaceae,1,3
Capparaceae,2,3
Caryophyllaceae,3,3
Celastraceae,1,3
Chloranthaceae,1,3
Compositae,8,3
Cyperaceae,3,3
Daltoniaceae,1,3
Dicranaceae,1,3
Droseraceae,1,3
Ericaceae,1,3
Euphorbiaceae,2,3
Fissidentaceae,1,3
Grossulariaceae,1,3
Hypericaceae,1,3
Hypnaceae,3,3
Iridaceae,1,3
Lamiaceae,1,3
Lauraceae,2,3
Lecythidaceae,1,3
Leguminosae,9,3
Loranthaceae,1,3
Malvaceae,2,3
Melastomataceae,1,3
Myrtaceae,1,3
Neckeraceae,1,3
Orchidaceae,8,3
Orobanchaceae,2,3
Piperaceae,1,3
Plantaginaceae,3,3
Poaceae,3,3
Polygonaceae,1,3
Polypodiaceae,1,3
Portulacaceae,1,3
Primulaceae,1,3
Rosaceae,3,3
Rubiaceae,2,3
Rutaceae,1,3
Sapindaceae,1,3
Scrophulariaceae,1,3
Sematophyllaceae,2,3
Typhaceae,1,3
Ulmaceae,1,3
Winteraceae,1,3
Xyridaceae,1,3
Actinidiaceae,1,4
Amaryllidaceae,1,4
Annonaceae,1,4
Apocynaceae,5,4
Araceae,3,4
Aristolochiaceae,1,4
Asparagaceae,1,4
Begoniaceae,1,4
Bignoniaceae,1,4
Boraginaceae,1,4
Bryaceae,1,4
Calceolariaceae,1,4
Campanulaceae,1,4
Caprifoliaceae,1,4
Clusiaceae,1,4
Commelinaceae,1,4
Compositae,12,4
Cucurbitaceae,1,4
Elaeocarpaceae,1,4
Euphorbiaceae,1,4
Fagaceae,1,4
Fissidentaceae,1,4
Gentianaceae,1,4
Gesneriaceae,1,4
Hookeriaceae,1,4
Iridaceae,2,4
Jubulaceae,1,4
Lauraceae,2,4
Leguminosae,8,4
Lindsaeaceae,1,4
Lophocoleaceae,1,4
Loranthaceae,1,4
Malvaceae,1,4
Orchidaceae,8,4
Piperaceae,1,4
Poaceae,4,4
Polygalaceae,1,4
Polypodiaceae,1,4
Proteaceae,1,4
Pteridaceae,1,4
Putranjivaceae,1,4
Radulaceae,1,4
Rhamnaceae,1,4
Rosaceae,1,4
Rubiaceae,9,4
Salicaceae,2,4
Solanaceae,1,4
Theaceae,1,4
Thuidiaceae,1,4
Urticaceae,1,4
Verbenaceae,1,4
Xanthorrhoeaceae,1,4
Zingiberaceae,1,4
Acanthaceae,2,5
Aizoaceae,1,5
Amaranthaceae,2,5
Amaryllidaceae,1,5
Amblystegiaceae,2,5
Apiaceae,2,5
Araceae,1,5
Asparagaceae,1,5
Balsaminaceae,1,5
Boraginaceae,2,5
Brassicaceae,1,5
Bromeliaceae,2,5
Burseraceae,1,5
Caryophyllaceae,1,5
Compositae,17,5
Crassulaceae,1,5
Cyperaceae,2,5
Dilleniaceae,1,5
Dryopteridaceae,1,5
Ebenaceae,2,5
Euphorbiaceae,1,5
Fagaceae,1,5
Gentianaceae,1,5
Geocalycaceae,1,5
Goodeniaceae,1,5
Hymenophyllaceae,1,5
Lamiaceae,1,5
Leguminosae,4,5
Lejeuneaceae,1,5
Molluginaceae,1,5
Myrtaceae,3,5
Onagraceae,1,5
Orchidaceae,10,5
Orobanchaceae,1,5
Phyllanthaceae,1,5
Piperaceae,1,5
Plagiochilaceae,1,5
Poaceae,5,5
Polemoniaceae,1,5
Polygalaceae,1,5
Polypodiaceae,1,5
Pottiaceae,1,5
Ranunculaceae,1,5
Rubiaceae,5,5
Sapindaceae,1,5
Saxifragaceae,1,5
Scrophulariaceae,2,5
Solanaceae,1,5
Verbenaceae,1,5
Xanthorrhoeaceae,1,5
Zingiberaceae,1,5
Acanthaceae,1,6
Actinidiaceae,1,6
Aizoaceae,1,6
Amaranthaceae,1,6
Amaryllidaceae,2,6
Apiaceae,1,6
Apocynaceae,2,6
Araceae,1,6
Asparagaceae,2,6
Athyriaceae,1,6
Brachytheciaceae,1,6
Bromeliaceae,2,6
Caryophyllaceae,1,6
Celastraceae,1,6
Commelinaceae,1,6
Compositae,10,6
Cyperaceae,3,6
Daltoniaceae,1,6
Elaeocarpaceae,2,6
Ericaceae,4,6
Euphorbiaceae,1,6
Fagaceae,1,6
Geraniaceae,2,6
Hypnaceae,1,6
Lamiaceae,2,6
Lauraceae,1,6
Leguminosae,9,6
Lepidoziaceae,1,6
Malpighiaceae,2,6
Malvaceae,2,6
Melastomataceae,1,6
Meteoriaceae,1,6
Myrtaceae,2,6
Myuriaceae,1,6
Olacaceae,1,6
Onagraceae,1,6
Orchidaceae,3,6
Orobanchaceae,1,6
Phyllanthaceae,1,6
Pilotrichaceae,1,6
Plantaginaceae,2,6
Poaceae,2,6
Podostemaceae,1,6
Porellaceae,1,6
Pottiaceae,1,6
Primulaceae,2,6
Ranunculaceae,3,6
Rhizogoniaceae,1,6
Rosaceae,1,6
Rubiaceae,1,6
Salicaceae,1,6
Santalaceae,1,6
Sapindaceae,1,6
Sapotaceae,2,6
