species,sub_tsn,acc_tsn,syn_author,syn_name,syn_tsn,acc_name,acc_author
Acacia colei,NA,NA,NA,NA,NA,NA,NA
Acacia crassicarpa,NA,NA,NA,NA,NA,NA,NA
Acer rufinerve,NA,NA,NA,NA,NA,NA,NA
Achillea alpina,780142,780142,Ledeb.,Achillea sibirica,35430,NA,NA
Achillea alpina,780142,780142,Hook.,Achillea multiflora,508287,NA,NA
Achillea biebersteinii,NA,NA,NA,NA,NA,NA,NA
Achillea millefolium subsp. stricta,NA,NA,NA,NA,NA,NA,NA
Acrocarpus fraxinifolius,NA,NA,NA,NA,NA,NA,NA
Actinoscirpus grossus,NA,NA,NA,NA,NA,NA,NA
Adenocaulon himalaicum,NA,NA,NA,NA,NA,NA,NA
Aetheorhiza bulbosa,NA,NA,NA,NA,NA,NA,NA
Ageratina adenophora,36465,36465,Spreng.,Eupatorium adenophorum,513320,NA,NA
Ageratina adenophora,36465,36465,Kunth non Michx.,Eupatorium glandulosum,513328,NA,NA
Aizoon canariense,NA,NA,NA,NA,NA,NA,NA
Ajuga pyramidalis,NA,NA,NA,NA,NA,NA,NA
Alchemilla gibberulosa,NA,NA,NA,NA,NA,NA,NA
Alchemilla glabricaulis,NA,NA,NA,NA,NA,NA,NA
Alchemilla hirsuticaulis,NA,NA,NA,NA,NA,NA,NA
Alchemilla leiophylla,NA,NA,NA,NA,NA,NA,NA
Alectra vogelii,NA,NA,NA,NA,NA,NA,NA
Allium pyrenaicum,NA,NA,NA,NA,NA,NA,NA
Allium siculum,NA,NA,NA,NA,NA,NA,NA
Allium subvillosum,NA,NA,NA,NA,NA,NA,NA
Aloe latifolia,NA,NA,NA,NA,NA,NA,NA
Alternanthera halimifolia,NA,NA,NA,NA,NA,NA,NA
Amsonia orientalis,NA,NA,NA,NA,NA,NA,NA
Anacyclus pyrethrum,NA,NA,NA,NA,NA,NA,NA
Anaphalioides bellidioides,NA,NA,NA,NA,NA,NA,NA
Anchusa thessala,NA,NA,NA,NA,NA,NA,NA
Anemone halleri,NA,NA,NA,NA,NA,NA,NA
Anthemis austriaca var. triumfettii,NA,NA,NA,NA,NA,NA,NA
Anthemis tomentosa,NA,NA,NA,NA,NA,NA,NA
Anubias gigantea,NA,NA,NA,NA,NA,NA,NA
Anubias heterophylla,NA,NA,NA,NA,NA,NA,NA
Apocynum venetum,NA,NA,NA,NA,NA,NA,NA
Apodanthera aspera,NA,NA,NA,NA,NA,NA,NA
Aponogeton capuronii,NA,NA,NA,NA,NA,NA,NA
Aponogeton desertorum,NA,NA,NA,NA,NA,NA,NA
Aponogeton elongatus,NA,NA,NA,NA,NA,NA,NA
Aponogeton longiplumulosus,NA,NA,NA,NA,NA,NA,NA
Aponogeton madagascariensis,NA,NA,NA,NA,NA,NA,NA
