species
Erodium hoefftianum
Eryngium tricuspidatum
Erysimum canum
Erysimum hungaricum
Euphrasia fennica
Euphrasia vernalis
Farfugium japonicum
Fascicularia bicolor
Fedia cornucopiae
Ferulago galbanifera
Ferulago sylvatica
Fimbristylis bisumbellata
Flemingia lineata
Flemingia macrophylla
Fragaria viridis
Frankenia laevis
Fuchsia coccinea
Fumaria agraria
Fumaria densiflora
Fumaria kralikii
Fumaria petteri
Fumaria schleicheri
Fumaria sepium
Gagea granulosa
Gagea minima
Gahnia aspera subsp. globosa
Galactites tomentosa
Galanthus alpinus
Galanthus plicatus
Galanthus reginae-olgae
Galanthus woronowii
Galatella dracunculoides
Galega orientalis
Galium verticillatum
Gamochaeta filaginea
Genista hispanica
Genista januensis
Genista numidica
Gentiana clusii
Geranium berteroanum
Geranium himalayense
Geranium psilostemon
Geranium yeoi
Gladiolus carneus
Gladiolus palustris
Globularia punctata
Glossostigma elatinoides
Glycosmis pentaphylla
Gnaphalium gaudichaudianum
Gnaphalium involucratum var. simplex
Goldbachia laevigata
Goniolimon tataricum
Graptopetalum paraguayense
Gymnocoronis spilanthoides
Gypsophila tubulosa
Hakea gibbosa
Hakea sericea
Halophila stipulacea
Harpachne schimperi
Helenium mexicanum
Helianthemum syriacum
Helichrysum arenarium
Helichrysum orientale
Helichrysum serpyllifolium var. orbiculare
Helictotrichon pratense
Heliocarpus donnellsmithii
Heliotropium dolosum
Hemarthria compressa
Hemerocallis yezoensis
Heracleum persicum
Heteranthera zosterifolia
Hieracium amplexicaule
Hieracium amplexicaule subsp. pulmonarioides
Hieracium amplexicaule subsp. spelaeum
Hieracium bathycephalum
Hieracium glaucinum subsp. similatum
Hieracium pannosum
Hieracium tomentosum
Hordeum turkestanicum
Hyacinthella leucophaea var. rumelica
Hydrocotyle leucocephala
Hydrocotyle novae-zelandiae
Hydrocotyle ramiflora
Hydrotriche hottoniiflora
Hylomecon vernalis
Hyoscyamus pusillus
Hypericum forrestii
Hypericum nummularium
Hypericum perfoliatum
Hypericum xylosteifolium
Iberis semperflorens
Inula conyza
Inula ensifolia
Inula germanica
Inula hirta
Inula spiraeifolia
Ionopsidium albiflorum
Iris chrysographes
Iris japonica
Ixia dubia
