species
Jacobaea erratica
Jasminum beesianum
Juncus radula
Juncus striatus
Juncus subulatus
Kalanchoe beharensis
Kalanchoe longiflora
Kalanchoe prolifera
Kickxia cirrhosa
Kickxia commutata
Klasea quinquefolia
Kleinia neriifolia
Knautia integrifola
Knautia macedonica
Kochia indica
Koeleria grandis
Kundmannia sicula
Kyllinga polyphylla
Lactuca perennis
Lagenandra ovata
Lagenandra thwaitesii
Lamium galeobdolon fo. argentatum
Lamium purpureum var. moluccellifolium
Lampranthus deltoides
Lantana x strigocamara
Lappula barbata
Laserpitium archangelica
Laserpitium siler
Lathyrus setifolius
Lavandula viridis
Leersia japonica
Legousia scabra
Leontice leontopetalum
Lepidium spinosum
Leptinella dioica
Libertia chilensis
Libertia sessiliflora
Ligustrum henryi
Ligustrum robustum subsp. walkeri
Lilaeopsis brasiliensis
Lilium monadelphum
Lilium pyrenaicum
Limnophila chinensis
Limonium meyeri
Limonium platyphyllum
Linaria arenaria
Linaria arvensis
Linaria caesia
Linaria chalepensis
Linaria hirta
Linaria pelisseriana
Linaria reflexa
Linaria triornithophora
Lindernia anagallis
Lindernia rotundifolia
Lisaea heterocarpa
Lobelia pedunculata
Lobelia urens
Lobularia libyca
Lonchocarpus sericeus
Lonicera confusa
Lotus biflorus
Lotus drepanocarpus
Ludwigia helminthorrhiza
Ludwigia inclinata
Ludwigia ovalis
Ludwigia perennis
Lycopus exaltatus
Lysimachia atropurpurea
Lythrum borysthenicum
Lythrum junceum
Lythrum volgense
Machaerina rubiginosa
Macrosyringion glutinosum
Malcolmia chia
Malcolmia orsiniana
Malope malacoides
Malva ambigua
Malva erecta
Malvella sherardiana
Mangifera sylvatica
Maresia meyeri
Matricaria aurea
Matthiola lunata
Mayaca sellowiana
Medicago caerulea
Medicago cancellata
Medicago coronata
Medicago fischeriana
Medicago glandulosa
Medicago orthoceras
Mentha cervina
Mentha micrantha
Mercurialis ovata
Meum athamanticum
Micropus supinus
Microsorum pteropus
Minuartia glomerata
Minuartia hamata
