species
Minuartia viscosa
Moenchia mantica
Moluccella spinosa
Moraea flaccida
Moraea miniata
murorum subsp. subsp. oblongum
murorum subsp. subsp. subcrispatum
Myoporum tetrandrum
Myosotis ramosissima
Myosotis secunda
Narcissus asturiensis
Narcissus calcicola
Narcissus cyclamineus
Narcissus pseudonarcissus subsp. minor
Neotorularia torulosa
Nepeta amoena
Nepeta sibirica
Nesaea crassicaulis
Neslia paniculata subsp. thracica
Nicotiana wigandioides
Nigella segetalis
Nipponocalamus argenteostriatus
Noaea mucronata
Nonea echioides
Nonea pulla
Nothoscordum x borbonicum
Nymphaea pubescens
Nymphaea rubra
Odontites verna
Oenanthe silaifolia
Oldenlandia capensis
Olea europaea subsp. cuspidata
Olea europaea subsp. europaea
Olearia macrodonta
Olimarabidopsis pumila
Ononis diffusa
Ononis subspicata
Onopordum acaulon
Onopordum bracteatum
Onopordum macracanthum
Onopordum nervosum
Oplismenus hirtellus subsp. undulatifolius
Orchis palustris
Orlaya daucorlaya
Orlaya grandiflora
Ornithogalum divergens
Ornithogalum narbonense
Orobanche amethystea
Orobanche cernua var. cumana
Orobanche gracilis
Orobanche lavandulacea
Orobanche lucorum
Orobanche pubescens
Orobanche sanguinea
Osteospermum jucundum
Otanthus maritimus
Ottelia ulvifolia
Ottochloa nodosa
Oxalis variabilis
Ozothamnus
Papaver pavoninum
Papaver pinnatifidum
Parietaria lusitanica
Paronychia arabica
Paronychia kapela
Pastinaca umbrosa
Pelargonium cordifolium
Petasites fragrans
Peucedanum verticillare
Phormium colensoi
Photinia beauverdiana
Phymatosorus diversifolius
Phyteuma scheuchzeri
Pilea hyalina
Pilea peperomioides
Pilosella brachiata
Pilosella caespitosa
Pilosella officinarum
Pimpinella cretica
Pimpinella lutea
Pimpinella peregrina
Pimpinella villosa
Pinguicula grandiflora
Piper sarmentosum
Plantago alpina
Plantago bellardii
Plantago maritima subsp. serpentina
Plantago subulata
Pleconax subconica
Plectranthus fruticosus
Plectranthus monostachyus
Poa jubata
Pogostemon helferi
Pogostemon stellatus
Polanisia dodecandra var. dodecandra
Polycarpon tetraphyllum subsp. diphyllum
Polygonum cognatum
Polygonum coriarium
Potamogeton trichoides
