accepted_name,occurrences,weedy,top_30_common,priority,jk_notes
Acacia dealbata,31647,1,yes,high,
Acacia longifolia,23596,1,yes,high,
Acacia mearnsii,17643,1,yes,high,
Acacia melanoxylon,39863,1,yes,high,
Acacia verticillata,12787,1,yes,high,
Acer platanoides,163732,1,yes,high,
Acer pseudoplatanus,427813,1,yes,high,
Achillea ptarmica,179967,1,yes,high,
Aconitum lycoctonum,29986,1,yes,high,
Agrostis capillaris,524201,1,yes,high,
Alnus glutinosa,471663,1,yes,high,
Alopecurus myosuroides,67675,1,yes,high,
Alopecurus pratensis,281793,1,yes,high,
Amelanchier spicata,10689,1,yes,high,Native to NE US. Invasive in Europe. Arrival to the most temperate counties in FL could be argued to be range extensions; highly unlikely in a warming climate. DISAGREEMENT on applied nomenclature
Ammophila arenaria,48205,1,yes,high,
Anthoxanthum odoratum,547771,1,yes,high,
Arctotheca calendula,19846,1,yes,high,Federal Noxious Weed
Arenaria montana,9855,1,yes,high,
Arrhenatherum elatius,515186,1,yes,high,
Artemisia absinthium,30712,1,yes,high,
Asperugo procumbens,9514,1,yes,high,
Atriplex semibaccata,10311,1,yes,high,
Avena barbata,85037,1,yes,high,
Avena fatua,78408,1,yes,high,
Avena sterilis,64259,1,yes,high,Federal Noxious Weed
Berberis thunbergii,11145,1,yes,high,
Berberis vulgaris,61176,1,yes,high,
Bistorta officinalis,72311,1,yes,high,
Bolboschoenus maritimus,93326,1,yes,high,
Brachypodium distachyon,20887,1,yes,high,
Brachypodium sylvaticum,281279,1,yes,high,
Brassica tournefortii,15757,1,yes,high,
Briza maxima,33533,1,yes,high,
Bromus diandrus,48538,1,yes,high,
Bromus hordeaceus,304077,1,yes,high,
Bromus inermis,48425,1,yes,high,
Bromus madritensis,23297,1,yes,high,
Bromus rubens,23160,1,yes,high,
Bromus squarrosus,7053,1,yes,high,
Bromus sterilis,227181,1,yes,high,
Bunias orientalis,28180,1,yes,high,
Calystegia sepium,376620,1,yes,high,"This cosmopolitan species has a native subspecies. https://florida.plantatlas.usf.edu/Plant.aspx?id=2195 The taxonomy is not resolved, and infraspecific compatability is unknown"
Carduus acanthoides,18073,1,yes,high,
Carduus crispus,83302,1,yes,high,
Carduus nutans,53497,1,yes,high,
Carduus pycnocephalus,12055,1,yes,high,
Carex nigra,431837,1,yes,high,
Carlina vulgaris,98981,1,yes,high,
Catapodium marinum,7295,1,yes,high,
Celastrus orbiculatus,6622,1,yes,high,
Cenchrus clandestinus,13417,1,yes,high,Federal Noxious Weed
Centaurea melitensis,14786,1,yes,high,
Chenopodium polyspermum,50311,1,yes,high,
Chondrilla juncea,27315,1,yes,high,
Cirsium arvense,618823,1,yes,high,
Claytonia sibirica,12276,1,yes,high,
Clematis vitalba,206046,1,yes,high,
Clinopodium nepeta,19676,1,yes,high,
Conium maculatum,46249,1,yes,high,
Cortaderia jubata,9367,1,yes,high,
Cotoneaster horizontalis,9588,1,yes,high,
Crataegus monogyna,643915,1,yes,high,
Crupina vulgaris,7312,1,yes,high,Federal Noxious Weed
Cuscuta epithymum,30608,1,yes,high,Federal Noxious Weed
Cuscuta europaea,24289,1,yes,high,Federal Noxious Weed
Cynara cardunculus,6345,1,yes,high,
Cynoglossum creticum,10032,1,yes,high,
Cynoglossum officinale,39905,1,yes,high,
Cynosurus echinatus,18881,1,yes,high,
Cytisus scoparius,255450,1,yes,high,
Danthonia decumbens,150168,1,yes,high,
Daucus glochidiatus,21382,1,yes,high,
Deschampsia cespitosa,456524,1,yes,high,
Descurainia sophia,31267,1,yes,high,
Draba verna,213809,1,yes,high,
Echinops sphaerocephalus,12298,1,yes,high,
Echium plantagineum,51871,1,yes,high,
Ehrharta calycina,8925,1,yes,high,
Ehrharta erecta,9100,1,yes,high,
Ehrharta stipoides,109710,1,yes,high,
Elodea nuttallii,70290,1,yes,high,Native to US. Imperiled status in 2 states. Invasive elsewhere. 
Elymus repens,381186,1,yes,high,
Enchylaena tomentosa,30865,1,yes,high,
Epilobium brunnescens,12570,1,yes,high,
Erigeron acer,9606,1,yes,high,
Erigeron karvinskianus,10099,1,yes,high,
Eucalyptus globulus,131326,1,yes,high,
Euphorbia chamaesyce,9711,1,yes,high,"Careful; may not find accurate data. Taxonomic ""black hole?"" Linn 630.15 ; 630.17: There is conflicting information re: this name's native range. As published by Linnaeus it's ""Southern Europe to Siberia."" Much confusion in literature between this valid taxon and non auct usage for Valid Named (and native sp.) Euphorbia prostrata Aiton"
